Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,1393,< 100 DM,1-4 thn,2,Pria lajang,Penjamin,2,Properti,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,12,Masalah / kredit di luar bank,Mobil baru,691,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,35,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,15,Masalah / kredit di luar bank,Mobil baru,5045,Tidak ada / tidak tahu,>= 7 thn,1,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,59,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,18,Masalah / kredit di luar bank,Furniture,2124,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,24,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,12,Kredit berjalan lancar,TV / Radio,2214,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,24,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,21,Masalah / kredit di luar bank,Mobil baru,12680,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,30,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil baru,2463,100-499 DM,4-7 thn,4,Pria menikah/duda,Tidak ada,3,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1155,< 100 DM,>= 7 thn,3,Pria menikah/duda,Penjamin,3,Properti,40,Bank,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,30,Kredit berjalan lancar,Furniture,3108,< 100 DM,< 1 thn,2,Pria cerai/pisah,Tidak ada,4,Tabungan/Asuransi,31,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,10,Kredit berjalan lancar,Mobil bekas,2901,Tidak ada / tidak tahu,< 1 thn,1,Wanita menikah/cerai,Tidak ada,4,Properti,31,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Masalah / kredit di luar bank,Furniture,3617,< 100 DM,>= 7 thn,1,Pria lajang,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Sewa,3,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,1655,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Properti,63,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Mobil bekas,2812,Tidak ada / tidak tahu,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Properti,26,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,36,Masalah / kredit di luar bank,Pendidikan,8065,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Tidak ada / tidak tahu,25,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Buruk
Tidak ada rekening,21,Masalah / kredit di luar bank,Mobil bekas,3275,< 100 DM,>= 7 thn,1,Pria lajang,Tidak ada,4,Mobil / lainnya,36,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2223,100-499 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,52,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,12,Masalah / kredit di luar bank,Mobil baru,1480,500-999 DM,Menganggur,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,66,Bank,Gratis,3,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Mobil baru,1371,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,25,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Masalah / kredit di luar bank,Mobil baru,3535,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,37,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,TV / Radio,3509,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Penjamin,1,Properti,25,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Masalah / kredit di luar bank,Mobil bekas,5711,>= 1000 DM,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,38,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Renovasi,3872,< 100 DM,Menganggur,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,67,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,39,Masalah / kredit di luar bank,TV / Radio,4933,< 100 DM,4-7 thn,2,Pria lajang,Penjamin,2,Properti,25,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil baru,1940,>= 1000 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,60,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Tidak pernah kredit / selalu lancar,Pelatihan ulang,1410,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,31,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Mobil baru,836,100-499 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,23,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
0-199 DM,20,Kredit berjalan lancar,Mobil bekas,6468,Tidak ada / tidak tahu,Menganggur,1,Pria cerai/pisah,Tidak ada,4,Properti,60,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,Bisnis,1941,>= 1000 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,35,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Baik
Tidak ada rekening,22,Kredit berjalan lancar,TV / Radio,2675,500-999 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Mobil / lainnya,40,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,48,Masalah / kredit di luar bank,Mobil bekas,2751,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,38,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
0-199 DM,48,Pernah telat bayar,Pendidikan,6224,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,50,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,40,Masalah / kredit di luar bank,Pendidikan,5998,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,3,Tidak ada / tidak tahu,27,Bank,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
0-199 DM,21,Kredit berjalan lancar,Bisnis,1188,< 100 DM,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,39,Tidak ada,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,Mobil bekas,6313,Tidak ada / tidak tahu,>= 7 thn,3,Pria lajang,Tidak ada,4,Mobil / lainnya,41,Tidak ada,Milik sendiri,1,Manajer / profesional,2,Ada,Ya,Baik
Tidak ada rekening,6,Masalah / kredit di luar bank,Furniture,1221,Tidak ada / tidak tahu,1-4 thn,1,Pria menikah/duda,Tidak ada,2,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,24,Kredit berjalan lancar,Furniture,2892,< 100 DM,>= 7 thn,3,Pria cerai/pisah,Tidak ada,4,Tidak ada / tidak tahu,51,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Furniture,3062,500-999 DM,>= 7 thn,4,Pria lajang,Tidak ada,3,Tidak ada / tidak tahu,32,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,9,Kredit berjalan lancar,Furniture,2301,100-499 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,22,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Mobil bekas,7511,Tidak ada / tidak tahu,>= 7 thn,1,Pria lajang,Tidak ada,4,Tabungan/Asuransi,51,Tidak ada,Gratis,1,Terampil / pegawai,2,Ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,Furniture,1258,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,22,Tidak ada,Sewa,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Pernah telat bayar,Mobil baru,717,Tidak ada / tidak tahu,>= 7 thn,4,Pria menikah/duda,Tidak ada,4,Mobil / lainnya,54,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,Mobil baru,1549,Tidak ada / tidak tahu,< 1 thn,4,Pria lajang,Tidak ada,2,Properti,35,Tidak ada,Milik sendiri,1,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,Pendidikan,1597,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,54,Tidak ada,Gratis,2,Terampil / pegawai,2,Tidak ada,Ya,Baik
0-199 DM,18,Masalah / kredit di luar bank,TV / Radio,1795,< 100 DM,>= 7 thn,3,Wanita menikah/cerai,Penjamin,4,Properti,48,Bank,Sewa,2,Tidak terampil (residen),1,Ada,Ya,Baik
< 0 DM,20,Masalah / kredit di luar bank,Furniture,4272,< 100 DM,>= 7 thn,1,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,976,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,35,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,Mobil baru,7472,Tidak ada / tidak tahu,Menganggur,1,Wanita menikah/cerai,Tidak ada,2,Properti,24,Tidak ada,Sewa,1,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,Mobil baru,9271,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,1,Mobil / lainnya,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
0-199 DM,6,Kredit berjalan lancar,TV / Radio,590,< 100 DM,< 1 thn,3,Pria menikah/duda,Tidak ada,3,Properti,26,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Bukan,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,TV / Radio,930,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,65,Tidak ada,Milik sendiri,4,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,42,Kredit di bank ini lancar,Mobil bekas,9283,< 100 DM,Menganggur,1,Pria lajang,Tidak ada,2,Tidak ada / tidak tahu,55,Bank,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,15,Tidak pernah kredit / selalu lancar,Mobil baru,1778,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,1,Properti,26,Tidak ada,Sewa,2,Pengangguran / tidak terampil (non-residen),1,Tidak ada,Ya,Buruk
0-199 DM,8,Kredit berjalan lancar,Bisnis,907,< 100 DM,< 1 thn,3,Pria menikah/duda,Tidak ada,2,Properti,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,6,Kredit berjalan lancar,TV / Radio,484,< 100 DM,4-7 thn,3,Pria menikah/duda,Penjamin,3,Properti,28,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,36,Masalah / kredit di luar bank,Mobil bekas,9629,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,24,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,48,Kredit berjalan lancar,Peralatan rumah,3051,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,4,Mobil / lainnya,54,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,48,Kredit berjalan lancar,Mobil baru,3931,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,46,Tidak ada,Gratis,1,Terampil / pegawai,2,Tidak ada,Ya,Buruk
0-199 DM,36,Pernah telat bayar,Mobil baru,7432,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,54,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Kredit berjalan lancar,Peralatan rumah,1338,500-999 DM,1-4 thn,1,Pria cerai/pisah,Tidak ada,4,Properti,62,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Masalah / kredit di luar bank,TV / Radio,1554,< 100 DM,4-7 thn,1,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,24,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,Lainnya,15857,< 100 DM,Menganggur,2,Pria cerai/pisah,Ko-pemohon,3,Mobil / lainnya,43,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,TV / Radio,1345,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,3,Properti,26,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,Mobil baru,1101,< 100 DM,1-4 thn,3,Pria menikah/duda,Tidak ada,2,Properti,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,12,Kredit berjalan lancar,TV / Radio,3016,< 100 DM,1-4 thn,3,Pria menikah/duda,Tidak ada,1,Mobil / lainnya,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,Furniture,2712,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,2,Tabungan/Asuransi,41,Bank,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Buruk
< 0 DM,8,Masalah / kredit di luar bank,Mobil baru,731,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,47,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Masalah / kredit di luar bank,Furniture,3780,< 100 DM,< 1 thn,3,Pria cerai/pisah,Tidak ada,2,Mobil / lainnya,35,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,21,Masalah / kredit di luar bank,Mobil baru,1602,< 100 DM,>= 7 thn,4,Pria menikah/duda,Tidak ada,3,Mobil / lainnya,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,18,Masalah / kredit di luar bank,Mobil baru,3966,< 100 DM,>= 7 thn,1,Wanita menikah/cerai,Tidak ada,4,Properti,33,Bank,Sewa,3,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,18,Tidak pernah kredit / selalu lancar,Bisnis,4165,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,36,Toko,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
< 0 DM,36,Kredit berjalan lancar,Mobil bekas,8335,Tidak ada / tidak tahu,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,47,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,48,Pernah telat bayar,Bisnis,6681,Tidak ada / tidak tahu,1-4 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,38,Tidak ada,Gratis,1,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,24,Pernah telat bayar,Bisnis,2375,500-999 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,44,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Mobil baru,1216,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,23,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,45,Tidak pernah kredit / selalu lancar,Bisnis,11816,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Mobil / lainnya,29,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,24,Kredit berjalan lancar,TV / Radio,5084,Tidak ada / tidak tahu,>= 7 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,42,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,15,Kredit berjalan lancar,TV / Radio,2327,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,3,Properti,25,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,12,Tidak pernah kredit / selalu lancar,Mobil baru,1082,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,48,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,TV / Radio,886,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,21,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,4,Kredit berjalan lancar,Furniture,601,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,3,Properti,23,Tidak ada,Sewa,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
< 0 DM,24,Masalah / kredit di luar bank,Mobil bekas,2957,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,63,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2611,< 100 DM,>= 7 thn,4,Pria menikah/duda,Ko-pemohon,3,Properti,46,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,Furniture,5179,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,29,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,21,Pernah telat bayar,Mobil bekas,2993,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,2,Properti,28,Toko,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Renovasi,1943,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit di bank ini lancar,Bisnis,1559,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,50,Bank,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Furniture,3422,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,47,Bank,Milik sendiri,3,Terampil / pegawai,2,Ada,Ya,Baik
0-199 DM,21,Kredit berjalan lancar,Furniture,3976,Tidak ada / tidak tahu,4-7 thn,2,Pria lajang,Tidak ada,3,Mobil / lainnya,35,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,18,Kredit berjalan lancar,Mobil baru,6761,Tidak ada / tidak tahu,1-4 thn,2,Pria lajang,Tidak ada,4,Mobil / lainnya,68,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,1249,< 100 DM,< 1 thn,4,Pria menikah/duda,Tidak ada,2,Properti,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,9,Kredit berjalan lancar,TV / Radio,1364,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,4,Properti,59,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,TV / Radio,709,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,57,Toko,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,20,Masalah / kredit di luar bank,Mobil baru,2235,< 100 DM,1-4 thn,4,Pria menikah/duda,Penjamin,2,Tabungan/Asuransi,33,Bank,Sewa,2,Terampil / pegawai,1,Tidak ada,Bukan,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil bekas,4042,Tidak ada / tidak tahu,4-7 thn,3,Pria lajang,Tidak ada,4,Tabungan/Asuransi,43,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,TV / Radio,1471,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,35,Tidak ada,Gratis,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,18,Kredit di bank ini lancar,Mobil baru,1442,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,32,Tidak ada,Gratis,2,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Pernah telat bayar,Mobil baru,10875,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,45,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,1474,100-499 DM,< 1 thn,4,Pria menikah/duda,Tidak ada,3,Properti,33,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,10,Kredit berjalan lancar,Pelatihan ulang,894,Tidak ada / tidak tahu,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Tabungan/Asuransi,40,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,Furniture,3343,< 100 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Tidak ada / tidak tahu,28,Tidak ada,Gratis,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,15,Kredit berjalan lancar,Mobil baru,3959,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,29,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,9,Kredit berjalan lancar,Mobil baru,3577,100-499 DM,1-4 thn,1,Pria lajang,Penjamin,2,Properti,26,Tidak ada,Sewa,1,Terampil / pegawai,2,Tidak ada,Bukan,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil bekas,5804,>= 1000 DM,1-4 thn,4,Pria lajang,Tidak ada,2,Properti,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,18,Pernah telat bayar,Bisnis,2169,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,2,Mobil / lainnya,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,TV / Radio,2439,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,35,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,27,Masalah / kredit di luar bank,Furniture,4526,>= 1000 DM,< 1 thn,4,Pria lajang,Tidak ada,2,Properti,32,Toko,Milik sendiri,2,Tidak terampil (residen),2,Ada,Ya,Baik
Tidak ada rekening,10,Kredit berjalan lancar,Furniture,2210,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,25,Bank,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,15,Kredit berjalan lancar,Furniture,2221,500-999 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,20,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,TV / Radio,2389,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Mobil / lainnya,27,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Furniture,3331,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,42,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Kredit berjalan lancar,Bisnis,7409,Tidak ada / tidak tahu,>= 7 thn,3,Pria lajang,Tidak ada,2,Tabungan/Asuransi,37,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Furniture,652,< 100 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,36,Pernah telat bayar,Furniture,7678,500-999 DM,4-7 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,40,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
